usd_cleaning_fee,f_room_type,f_property_type,f_room_type2,f_property_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,n_accommodates2,f_bathroom,f_number_of_reviews,n_days_since2,n_days_since3,f_minimum_nights,price,neighbourhood_cleansed,cancellation_policy,room_type,property_type,d_elevator,d_familykidfriendly,d_freeparkingonpremises,d_gym,d_hottub,d_petsallowed,d_pool,d_privatebathroom,d_privateentrance,d_selfcheckin,d_smokingallowed,d_tv,d_wheelchairaccessible,d_24hourcheckin,d_airconditioning,d_bathtub,d_breakfast,d_cleaningbeforecheckout,d_coffeemaker,d_dishwasher,city
0,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Hotwells & Harbourside,99,100,4,1,99,74,2,1.41,30,3,1,1575,16,1,2,2480625,3906984375,3,99,Hotwells & Harbourside,strict,Entire home/apt,Apartment,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,Bristol
20,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Lawrence Hill,55,100,2,1,95,207,1,4.02,0,1,1,1542,4,1,2,2377764,3666512088,1,55,Lawrence Hill,strict,Entire home/apt,Apartment,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Bristol
35,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Redland,50,NA,2,1,93,25,1,0.47,0,2,1,1578,4,1,1,2490084,3929352552,2,50,Redland,moderate,Entire home/apt,Apartment,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bristol
40,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Easton,50,NA,3,0.5,90,3,1,0.06,0,2,1,1543,9,0,1,2380849,3673650007,2,50,Easton,moderate,Entire home/apt,Apartment,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Bristol
25,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Clifton,135,NA,5,1,96,25,1,0.53,0,3,3,1421,25,1,1,2019241,2869341461,3,135,Clifton,strict,Entire home/apt,Apartment,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bristol
20,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Clifton,89,100,4,1,99,295,2,5.75,10,2,2,1539,16,1,2,2368521,3645153819,2,89,Clifton,moderate,Entire home/apt,Apartment,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,Bristol
0,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Clifton,90,50,2,1,96,35,2,0.67,20,2,1,1565,4,1,1,2449225,3833037125,2,90,Clifton,moderate,Entire home/apt,Apartment,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Bristol
10,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Southville,70,100,4,1,86,7,1,0.13,0,2,2,1557,16,1,1,2424249,3774555693,2,70,Southville,moderate,Entire home/apt,Apartment,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bristol
0,Entire home/apt,Loft,Entire/Apt,Loft,moderate,Real Bed,Clifton,70,100,2,1,98,89,2,1.72,15,7,1,1552,4,1,2,2408704,3738308608,3,70,Clifton,moderate,Entire home/apt,Loft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Bristol
0,Entire home/apt,Apartment,Entire/Apt,Apartment,flexible,Real Bed,Central,80,NA,2,1,100,7,1,0.14,0,2,1,1542,4,1,1,2377764,3666512088,2,80,Central,flexible,Entire home/apt,Apartment,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bristol
