usd_cleaning_fee,f_room_type,f_property_type,f_room_type2,f_property_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,n_accommodates2,f_bathroom,f_number_of_reviews,n_days_since2,n_days_since3,f_minimum_nights,price,neighbourhood_cleansed,cancellation_policy,room_type,property_type,d_elevator,d_familykidfriendly,d_freeparkingonpremises,d_gym,d_hottub,d_petsallowed,d_pool,d_privatebathroom,d_privateentrance,d_selfcheckin,d_smokingallowed,d_tv,d_wheelchairaccessible,d_24hourcheckin,d_airconditioning,d_bathtub,d_breakfast,d_cleaningbeforecheckout,d_coffeemaker,d_dishwasher,city
0,Entire home/apt,Condominium,Entire/Apt,Loft,strict,Real Bed,Didsbury West,70,93,4,1,92.84275321768327,0,1,NA,0,6,2,NA,16,1,0,NA,NA,3,70,Didsbury West,strict,Entire home/apt,Condominium,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Manchester
56,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Whalley Range,200,90,2,1,87,3,1,2.2,0,2,1,40,4,1,1,1600,64000,2,200,Whalley Range,strict,Entire home/apt,Apartment,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,Manchester
60,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,85,100,4,2,92.84275321768327,0,1,NA,0,2,2,NA,16,2,0,NA,NA,2,85,Salford District,flexible,Entire home/apt,Condominium,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,Manchester
60,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,85,100,4,2,92.84275321768327,0,1,NA,0,2,2,NA,16,2,0,NA,NA,2,85,Salford District,flexible,Entire home/apt,Condominium,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,Manchester
30,Private room,Apartment,Private,Apartment,moderate,Real Bed,City Centre,60,100,2,1,80,1,1,1,10,1,1,6,4,1,1,36,216,1,60,City Centre,moderate,Private room,Apartment,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Manchester
60,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,85,100,4,2,92.84275321768327,0,1,NA,0,2,2,NA,16,2,0,NA,NA,2,85,Salford District,flexible,Entire home/apt,Condominium,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,Manchester
60,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,85,100,4,2,92.84275321768327,0,1,NA,0,2,2,NA,16,2,0,NA,NA,2,85,Salford District,flexible,Entire home/apt,Condominium,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,Manchester
60,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,85,100,4,2,92.84275321768327,0,1,NA,0,2,2,NA,16,2,0,NA,NA,2,85,Salford District,flexible,Entire home/apt,Condominium,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Manchester
60,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,85,100,4,2,92.84275321768327,0,1,NA,0,2,2,NA,16,2,0,NA,NA,2,85,Salford District,flexible,Entire home/apt,Condominium,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,Manchester
60,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,85,100,4,2,92.84275321768327,0,1,NA,0,2,2,NA,16,2,0,NA,NA,2,85,Salford District,flexible,Entire home/apt,Condominium,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,Manchester
